Contig ID,Size,Lhav_ech1,Lhav F RPKM
Lhav_v2_contig_10170,431,10508,267.7709263
Lhav_v2_contig_10171,347,1299,41.11500082
Lhav_v2_contig_10172,321,4607,157.6281603
Lhav_v2_contig_10173,2486,3524,15.56880942
Lhav_v2_contig_10174,242,3739,169.6917491
Lhav_v2_contig_10175,1360,1814,14.6493718
Lhav_v2_contig_10176,1053,2178,22.71695571
Lhav_v2_contig_10177,3705,3900,11.56104314
Lhav_v2_contig_10178,2707,3423,13.88798601
Lhav_v2_contig_10179,5233,2231,4.682410258
Lhav_v2_contig_1018,1428,4458,34.28723655
Lhav_v2_contig_10180,2442,1885,8.47786159
Lhav_v2_contig_10181,234,83,3.895676289
Lhav_v2_contig_10182,984,1556,17.36741257
Lhav_v2_contig_10183,1264,2094,18.19492335
Lhav_v2_contig_10184,2415,3170,14.41659686
Lhav_v2_contig_10185,1142,401,3.856549373
Lhav_v2_contig_10186,682,616,9.920120887
Lhav_v2_contig_10187,726,2173,32.87333251
Lhav_v2_contig_10188,2213,1218,6.044863541
Lhav_v2_contig_10189,425,22,0.568531298
Lhav_v2_contig_1019,1425,22055,169.985871
Lhav_v2_contig_10190,2775,1282,5.073943942
Lhav_v2_contig_10191,1948,950,5.356181434
Lhav_v2_contig_10192,2527,1185,5.150314331
Lhav_v2_contig_10193,534,347,7.136887399
Lhav_v2_contig_10194,3230,2692,9.153625921
Lhav_v2_contig_10195,676,488,7.928549703
Lhav_v2_contig_10196,2587,4876,20.7008365
Lhav_v2_contig_10197,957,2411,27.66979233
Lhav_v2_contig_10198,2451,3323,14.89044432
Lhav_v2_contig_10199,1518,991,7.170055378
Lhav_v2_contig_102,1418,3593,27.82925712
Lhav_v2_contig_1020,2110,3186,16.58379586
Lhav_v2_contig_10200,301,17,0.620301816
Lhav_v2_contig_10201,1988,4027,22.24773878
Lhav_v2_contig_10202,4515,4401,10.70567958
Lhav_v2_contig_10203,4684,8425,19.75484608
Lhav_v2_contig_10204,690,1581,25.16537499
Lhav_v2_contig_10205,1486,1302,9.623051318
Lhav_v2_contig_10206,3252,1826,6.166956191
Lhav_v2_contig_10207,403,0,0
Lhav_v2_contig_10208,396,463,12.84122431
Lhav_v2_contig_10209,1275,857,7.382292762
Lhav_v2_contig_1021,1504,927,6.769436596
Lhav_v2_contig_10210,919,126,1.505829014
Lhav_v2_contig_10211,558,110,2.165105749
Lhav_v2_contig_10212,934,1807,21.24867741
Lhav_v2_contig_10213,3586,2892,8.857448388
Lhav_v2_contig_10214,605,428,7.769785356
Lhav_v2_contig_10215,518,204,4.3253478
Lhav_v2_contig_10216,386,56,1.593387293
Lhav_v2_contig_10217,1556,4,0.02823391
Lhav_v2_contig_10218,255,2180,93.89380526
Lhav_v2_contig_10219,344,2061,65.802164
Lhav_v2_contig_1022,3118,1905,6.71026229
Lhav_v2_contig_10220,1616,5650,38.39969001
Lhav_v2_contig_10221,1310,4011,33.62807392
Lhav_v2_contig_10222,1089,2988,30.13514881
Lhav_v2_contig_10223,2889,820,3.11735985
Lhav_v2_contig_10224,5417,7540,15.28738269
Lhav_v2_contig_10225,495,36,0.798762981
Lhav_v2_contig_10226,1056,240,2.496134314
Lhav_v2_contig_10227,3660,7476,22.43410945
Lhav_v2_contig_10228,483,61,1.387085818
Lhav_v2_contig_10229,1177,3123,29.14178491
Lhav_v2_contig_1023,5108,4819,10.36159623
Lhav_v2_contig_10230,469,2312,54.1421645
Lhav_v2_contig_10231,2550,5647,24.32194121
Lhav_v2_contig_10232,1722,827,5.274642011
Lhav_v2_contig_10233,838,923,12.09701751
