Contig ID,Size,Lmic_ech1,Lmic F ENV RPKM
Lmic_v1_contig_10313,238,674,36.18968534
Lmic_v1_contig_10314,2333,945,5.176294025
Lmic_v1_contig_10315,314,678,27.59319013
Lmic_v1_contig_10316,1316,3347,32.50137171
Lmic_v1_contig_10317,392,140,4.563981089
Lmic_v1_contig_10318,426,383,11.48923315
Lmic_v1_contig_10319,234,126,6.88107918
Lmic_v1_contig_1032,808,5715,90.38716013
Lmic_v1_contig_10320,1446,1272,11.24140736
Lmic_v1_contig_10321,566,39,0.880541934
Lmic_v1_contig_10322,761,1074,18.03522199
Lmic_v1_contig_10323,1796,3039,21.62351218
Lmic_v1_contig_10324,367,28,0.974975797
Lmic_v1_contig_10325,1188,1990,21.40614699
Lmic_v1_contig_10326,3188,2888,11.57659243
Lmic_v1_contig_10327,1124,1925,21.88599472
Lmic_v1_contig_10328,640,1173,23.42178045
Lmic_v1_contig_10329,1357,1350,12.71322661
Lmic_v1_contig_1033,679,769,14.4729957
Lmic_v1_contig_10330,1440,2393,21.23645756
Lmic_v1_contig_10331,951,1465,19.68606775
Lmic_v1_contig_10332,231,368,20.35812171
Lmic_v1_contig_10333,2230,1319,7.558607604
Lmic_v1_contig_10334,1677,1747,13.31256404
Lmic_v1_contig_10335,488,557,14.58603464
Lmic_v1_contig_10336,928,2843,39.14990847
Lmic_v1_contig_10337,1268,198,1.995481952
Lmic_v1_contig_10338,1704,2366,17.74381568
Lmic_v1_contig_10339,1399,1065,9.728228454
Lmic_v1_contig_1034,1045,4416,54.00259653
Lmic_v1_contig_10340,273,10,0.468100625
Lmic_v1_contig_10341,620,6131,126.3692751
Lmic_v1_contig_10342,2308,2258,12.50230244
Lmic_v1_contig_10343,265,778,37.51764681
Lmic_v1_contig_10344,910,2269,31.86360951
Lmic_v1_contig_10345,1343,3982,37.89021858
Lmic_v1_contig_10346,689,2738,50.7827353
Lmic_v1_contig_10347,881,3370,48.88277589
Lmic_v1_contig_10348,3998,5396,17.24769322
Lmic_v1_contig_10349,496,29,0.747167872
Lmic_v1_contig_1035,2492,14934,76.58257706
Lmic_v1_contig_10350,1023,4082,50.99166985
Lmic_v1_contig_10351,669,132,2.521446055
Lmic_v1_contig_10352,1082,2033,24.01109607
Lmic_v1_contig_10353,543,329,7.74279812
Lmic_v1_contig_10354,573,2413,53.81515154
Lmic_v1_contig_10355,2158,4577,27.10387212
Lmic_v1_contig_10356,2272,1014,5.703369326
Lmic_v1_contig_10357,279,136,6.229261644
Lmic_v1_contig_10358,2049,1322,8.245013372
Lmic_v1_contig_10359,1520,4226,35.52939173
Lmic_v1_contig_1036,688,6747,125.3210831
Lmic_v1_contig_10360,680,1042,19.58216357
Lmic_v1_contig_10361,223,145,8.309310862
Lmic_v1_contig_10362,223,209,11.97686876
Lmic_v1_contig_10363,309,279,11.53845316
Lmic_v1_contig_10364,1027,1407,17.50755589
Lmic_v1_contig_10365,1244,2630,27.01700703
Lmic_v1_contig_10366,1347,1165,11.05249169
Lmic_v1_contig_10367,646,448,8.862318697
Lmic_v1_contig_10368,191,22,1.471943639
Lmic_v1_contig_10369,595,2097,45.03843926
Lmic_v1_contig_1037,756,179,3.025750426
Lmic_v1_contig_10370,1456,1380,12.11210366
Lmic_v1_contig_10371,3927,1188,3.865960452
Lmic_v1_contig_10372,3034,1817,7.653167498
Lmic_v1_contig_10373,1212,437,4.607662756
Lmic_v1_contig_10374,2506,3996,20.37728316
Lmic_v1_contig_10375,2497,3872,19.8161223
Lmic_v1_contig_10376,2077,912,5.611257635
Lmic_v1_contig_10377,706,1173,21.23220891
Lmic_v1_contig_10378,667,826,15.82545047
Lmic_v1_contig_10379,1207,1947,20.61391823
Lmic_v1_contig_1038,522,403,9.86589322
Lmic_v1_contig_10380,601,3704,78.75867
Lmic_v1_contig_10381,2703,3317,15.68199436
Lmic_v1_contig_10382,2127,1734,10.41797884
Lmic_v1_contig_10383,1730,485,3.582593248
Lmic_v1_contig_10384,3234,2614,10.32921781
Lmic_v1_contig_10385,215,77,4.57671778
Lmic_v1_contig_10386,303,251,10.5860261
Lmic_v1_contig_10387,797,434,6.958782709
Lmic_v1_contig_10388,269,73,3.467946969
Lmic_v1_contig_10389,1669,1410,10.79604394
Lmic_v1_contig_1039,1474,713,6.181500574
Lmic_v1_contig_10390,976,1729,22.63846849
Lmic_v1_contig_10391,3535,2325,8.404955273
Lmic_v1_contig_10392,1738,3690,27.13179092
